"";"Nr";"Object";"N_Measurements";"purpose";"Special";"Commentary";"Site";"Region";"X"
"170";486;"TIE_79";2;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"171";487;"TIE_79";3;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"172";488;"TIE_68";1;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"173";489;"TIE_68";2;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"174";490;"TIE_68";3;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"175";493;"TIE_80";1;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"176";494;"TIE_80";2;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"177";495;"TIE_80";3;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"178";496;"TIE_14";1;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"179";497;"TIE_14";2;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"180";498;"TIE_14";3;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"181";499;"KAM_7";1;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"182";500;"KAM_7";2;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"183";501;"KAM_7";3;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"184";502;"TIE_10";1;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"185";503;"TIE_10";2;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"186";504;"TIE_10";3;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"187";536;"KAM_6";1;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"188";537;"KAM_6";2;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"189";538;"KAM_6";3;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"190";539;"TIE_86";1;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"191";540;"TIE_86";2;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"192";541;"TIE_86";3;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"193";542;"KAM_72";1;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"194";543;"KAM_72";2;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"195";544;"KAM_72";3;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"196";545;"KAM_90";1;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"197";546;"KAM_90";2;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"198";547;"KAM_90";3;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"199";548;"TIE_73";1;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"200";549;"TIE_73";2;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"201";550;"TIE_73";3;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"202";554;"KAM_1";1;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"203";555;"KAM_1";2;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"204";556;"KAM_1";3;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"205";557;"KAM_88";1;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"206";558;"KAM_88";2;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"207";559;"KAM_88";3;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"208";593;"ESS_1";1;"pottery";"";"";"Essouk";"Essouk";NA
"209";594;"ESS_1";2;"pottery";"";"";"Essouk";"Essouk";NA
"210";595;"ESS_1";3;"pottery";"";"";"Essouk";"Essouk";NA
"211";596;"ESS_3";1;"pottery";"";"";"Essouk";"Essouk";NA
"212";597;"ESS_3";2;"pottery";"";"";"Essouk";"Essouk";NA
"213";598;"ESS_3";3;"pottery";"";"";"Essouk";"Essouk";NA
"214";599;"ESS_7";1;"pottery";"";"";"Essouk";"Essouk";NA
"215";600;"ESS_7";2;"pottery";"";"";"Essouk";"Essouk";NA
"216";601;"ESS_7";3;"pottery";"";"";"Essouk";"Essouk";NA
"217";602;"ESS_15";1;"pottery";"";"";"Essouk";"Essouk";NA
"218";603;"ESS_15";2;"pottery";"";"";"Essouk";"Essouk";NA
"219";604;"ESS_15";3;"pottery";"";"";"Essouk";"Essouk";NA
"220";605;"ESS_20";1;"pottery";"";"";"Essouk";"Essouk";NA
"221";606;"ESS_20";2;"pottery";"";"";"Essouk";"Essouk";NA
"222";607;"ESS_20";3;"pottery";"";"";"Essouk";"Essouk";NA
"223";612;"ESS_22";1;"pottery";"";"";"Essouk";"Essouk";NA
"224";613;"ESS_22";2;"pottery";"";"";"Essouk";"Essouk";NA
"225";614;"ESS_22";3;"pottery";"";"";"Essouk";"Essouk";NA
"226";624;"DA_69";1;"pottery";"";"";"Dotsm Awaki";"Zinder";NA
"227";625;"DA_69";2;"pottery";"";"";"Dotsm Awaki";"Zinder";NA
"228";627;"DA_69";3;"pottery";"";"";"Dotsm Awaki";"Zinder";NA
"229";629;"KK_65";1;"pottery";"";"";"Kufan Kanawa";"Zinder";NA
"230";630;"KK_65";2;"pottery";"";"";"Kufan Kanawa";"Zinder";NA
"231";632;"KK_65";3;"pottery";"";"";"Kufan Kanawa";"Zinder";NA
"232";633;"KK_70";1;"pottery";"";"";"Kufan Kanawa";"Zinder";NA
"233";634;"KK_70";2;"pottery";"";"";"Kufan Kanawa";"Zinder";NA
"234";635;"KK_70";3;"pottery";"";"";"Kufan Kanawa";"Zinder";NA
"235";638;"ESS_2";1;"pottery";"";"";"Essouk";"Essouk";NA
"236";639;"ESS_2";2;"pottery";"";"";"Essouk";"Essouk";NA
"237";640;"ESS_2";3;"pottery";"";"";"Essouk";"Essouk";NA
